Algorithm,Params,EvaluationMethod,TP,FP,FN,Precision,Recall,F1-Score,GT_Relevant,Predicted_Boxes,Timestamp,Seed,TotalSimTime,NumInitialObstacles,AgentSpeed,LiDAR_Range,PaddingCells,ClusteringTime_sec,LiDAR_Noise_Enabled,LiDAR_Noise_Level
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,31,4,28,0.886,0.525,0.66,59,35,2025-05-22 13:45:20,7,20.0,60,20,30,1,0.0105,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,35,6,24,0.854,0.593,0.7,59,41,2025-05-22 13:45:20,7,20.0,60,20,30,1,0.0401,True,0.05
KMEANS,"{'n_clusters': 59, 'random_state': 7, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,34,12,25,0.739,0.576,0.648,59,46,2025-05-22 13:45:20,7,20.0,60,20,30,1,0.0197,True,0.05
GMM,"{'n_components': 59, 'covariance_type': 'full', 'random_state': 7}",2D_CENTER_IN_GT_AREA,36,8,23,0.818,0.61,0.699,59,44,2025-05-22 13:45:20,7,20.0,60,20,30,1,0.2638,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,30,5,29,0.857,0.508,0.638,59,35,2025-05-22 13:45:20,7,20.0,60,20,30,1,0.0101,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,35,6,24,0.854,0.593,0.7,59,41,2025-05-22 13:45:20,7,20.0,60,20,30,1,0.0405,True,0.05
KMEANS,"{'n_clusters': 59, 'random_state': 7, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,38,8,21,0.826,0.644,0.724,59,46,2025-05-22 13:45:20,7,20.0,60,20,30,1,0.0197,True,0.05
GMM,"{'n_components': 59, 'covariance_type': 'full', 'random_state': 7}",2D_AREA_OVERLAP_RATIO,38,6,21,0.864,0.644,0.738,59,44,2025-05-22 13:45:20,7,20.0,60,20,30,1,0.2332,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,21,20,38,0.512,0.356,0.42,59,41,2025-05-22 13:45:34,8,20.0,60,20,30,1,0.031,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,14,33,45,0.298,0.237,0.264,59,47,2025-05-22 13:45:34,8,20.0,60,20,30,1,0.1059,True,0.05
KMEANS,"{'n_clusters': 59, 'random_state': 8, 'n_init': 'auto'}",3D_IOU,20,32,39,0.385,0.339,0.36,59,52,2025-05-22 13:45:34,8,20.0,60,20,30,1,0.032,True,0.05
GMM,"{'n_components': 59, 'covariance_type': 'full', 'random_state': 8}",3D_IOU,18,28,41,0.391,0.305,0.343,59,46,2025-05-22 13:45:34,8,20.0,60,20,30,1,0.4781,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,40,1,19,0.976,0.678,0.8,59,41,2025-05-22 13:45:34,8,20.0,60,20,30,1,0.028,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,36,11,23,0.766,0.61,0.679,59,47,2025-05-22 13:45:34,8,20.0,60,20,30,1,0.0779,True,0.05
KMEANS,"{'n_clusters': 59, 'random_state': 8, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,37,15,22,0.712,0.627,0.667,59,52,2025-05-22 13:45:34,8,20.0,60,20,30,1,0.0225,True,0.05
GMM,"{'n_components': 59, 'covariance_type': 'full', 'random_state': 8}",2D_CENTER_IN_GT_AREA,34,12,25,0.739,0.576,0.648,59,46,2025-05-22 13:45:34,8,20.0,60,20,30,1,0.4969,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,36,5,23,0.878,0.61,0.72,59,41,2025-05-22 13:45:34,8,20.0,60,20,30,1,0.0281,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,32,15,27,0.681,0.542,0.604,59,47,2025-05-22 13:45:34,8,20.0,60,20,30,1,0.0787,True,0.05
KMEANS,"{'n_clusters': 59, 'random_state': 8, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,41,11,18,0.788,0.695,0.739,59,52,2025-05-22 13:45:34,8,20.0,60,20,30,1,0.021,True,0.05
GMM,"{'n_components': 59, 'covariance_type': 'full', 'random_state': 8}",2D_AREA_OVERLAP_RATIO,39,7,20,0.848,0.661,0.743,59,46,2025-05-22 13:45:34,8,20.0,60,20,30,1,0.5136,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,12,19,34,0.387,0.261,0.312,46,31,2025-05-22 13:45:48,9,20.0,60,20,30,1,0.009,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,10,20,36,0.333,0.217,0.263,46,30,2025-05-22 13:45:48,9,20.0,60,20,30,1,0.037,True,0.05
KMEANS,"{'n_clusters': 46, 'random_state': 9, 'n_init': 'auto'}",3D_IOU,7,32,39,0.179,0.152,0.165,46,39,2025-05-22 13:45:48,9,20.0,60,20,30,1,0.014,True,0.05
GMM,"{'n_components': 46, 'covariance_type': 'full', 'random_state': 9}",3D_IOU,10,27,36,0.27,0.217,0.241,46,37,2025-05-22 13:45:48,9,20.0,60,20,30,1,0.281,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,31,0,15,1.0,0.674,0.805,46,31,2025-05-22 13:45:48,9,20.0,60,20,30,1,0.0078,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,25,5,21,0.833,0.543,0.658,46,30,2025-05-22 13:45:48,9,20.0,60,20,30,1,0.0273,True,0.05
KMEANS,"{'n_clusters': 46, 'random_state': 9, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,27,12,19,0.692,0.587,0.635,46,39,2025-05-22 13:45:48,9,20.0,60,20,30,1,0.0133,True,0.05
GMM,"{'n_components': 46, 'covariance_type': 'full', 'random_state': 9}",2D_CENTER_IN_GT_AREA,28,9,18,0.757,0.609,0.675,46,37,2025-05-22 13:45:48,9,20.0,60,20,30,1,0.254,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,28,3,18,0.903,0.609,0.727,46,31,2025-05-22 13:45:48,9,20.0,60,20,30,1,0.0085,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,27,3,19,0.9,0.587,0.711,46,30,2025-05-22 13:45:48,9,20.0,60,20,30,1,0.0265,True,0.05
KMEANS,"{'n_clusters': 46, 'random_state': 9, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,31,8,15,0.795,0.674,0.729,46,39,2025-05-22 13:45:48,9,20.0,60,20,30,1,0.0118,True,0.05
GMM,"{'n_components': 46, 'covariance_type': 'full', 'random_state': 9}",2D_AREA_OVERLAP_RATIO,31,6,15,0.838,0.674,0.747,46,37,2025-05-22 13:45:48,9,20.0,60,20,30,1,0.2509,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,17,13,34,0.567,0.333,0.42,51,30,2025-05-22 13:45:59,10,20.0,60,20,30,1,0.0125,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,12,22,39,0.353,0.235,0.282,51,34,2025-05-22 13:45:59,10,20.0,60,20,30,1,0.0449,True,0.05
KMEANS,"{'n_clusters': 51, 'random_state': 10, 'n_init': 'auto'}",3D_IOU,8,38,43,0.174,0.157,0.165,51,46,2025-05-22 13:45:59,10,20.0,60,20,30,1,0.0188,True,0.05
GMM,"{'n_components': 51, 'covariance_type': 'full', 'random_state': 10}",3D_IOU,13,25,38,0.342,0.255,0.292,51,38,2025-05-22 13:45:59,10,20.0,60,20,30,1,0.3143,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,29,1,22,0.967,0.569,0.716,51,30,2025-05-22 13:45:59,10,20.0,60,20,30,1,0.0091,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,28,6,23,0.824,0.549,0.659,51,34,2025-05-22 13:45:59,10,20.0,60,20,30,1,0.0354,True,0.05
KMEANS,"{'n_clusters': 51, 'random_state': 10, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,27,19,24,0.587,0.529,0.557,51,46,2025-05-22 13:45:59,10,20.0,60,20,30,1,0.0145,True,0.05
GMM,"{'n_components': 51, 'covariance_type': 'full', 'random_state': 10}",2D_CENTER_IN_GT_AREA,25,13,26,0.658,0.49,0.562,51,38,2025-05-22 13:45:59,10,20.0,60,20,30,1,0.2986,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,28,2,23,0.933,0.549,0.691,51,30,2025-05-22 13:45:59,10,20.0,60,20,30,1,0.0094,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,27,7,24,0.794,0.529,0.635,51,34,2025-05-22 13:45:59,10,20.0,60,20,30,1,0.036,True,0.05
KMEANS,"{'n_clusters': 51, 'random_state': 10, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,33,13,18,0.717,0.647,0.68,51,46,2025-05-22 13:45:59,10,20.0,60,20,30,1,0.0148,True,0.05
GMM,"{'n_components': 51, 'covariance_type': 'full', 'random_state': 10}",2D_AREA_OVERLAP_RATIO,29,9,22,0.763,0.569,0.652,51,38,2025-05-22 13:45:59,10,20.0,60,20,30,1,0.3085,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,20,19,39,0.513,0.339,0.408,59,39,2025-05-22 13:46:13,1,20.0,60,20,30,1,0.0197,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,17,21,42,0.447,0.288,0.351,59,38,2025-05-22 13:46:13,1,20.0,60,20,30,1,0.0613,True,0.05
KMEANS,"{'n_clusters': 59, 'random_state': 1, 'n_init': 'auto'}",3D_IOU,12,38,47,0.24,0.203,0.22,59,50,2025-05-22 13:46:13,1,20.0,60,20,30,1,0.028,True,0.05
GMM,"{'n_components': 59, 'covariance_type': 'full', 'random_state': 1}",3D_IOU,13,34,46,0.277,0.22,0.245,59,47,2025-05-22 13:46:13,1,20.0,60,20,30,1,0.3843,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,37,2,22,0.949,0.627,0.755,59,39,2025-05-22 13:46:13,1,20.0,60,20,30,1,0.0141,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,33,5,26,0.868,0.559,0.68,59,38,2025-05-22 13:46:13,1,20.0,60,20,30,1,0.0481,True,0.05
KMEANS,"{'n_clusters': 59, 'random_state': 1, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,40,10,19,0.8,0.678,0.734,59,50,2025-05-22 13:46:13,1,20.0,60,20,30,1,0.0199,True,0.05
GMM,"{'n_components': 59, 'covariance_type': 'full', 'random_state': 1}",2D_CENTER_IN_GT_AREA,38,9,21,0.809,0.644,0.717,59,47,2025-05-22 13:46:13,1,20.0,60,20,30,1,0.3722,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,36,3,23,0.923,0.61,0.735,59,39,2025-05-22 13:46:13,1,20.0,60,20,30,1,0.015,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,36,2,23,0.947,0.61,0.742,59,38,2025-05-22 13:46:13,1,20.0,60,20,30,1,0.051,True,0.05
KMEANS,"{'n_clusters': 59, 'random_state': 1, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,40,10,19,0.8,0.678,0.734,59,50,2025-05-22 13:46:13,1,20.0,60,20,30,1,0.0194,True,0.05
GMM,"{'n_components': 59, 'covariance_type': 'full', 'random_state': 1}",2D_AREA_OVERLAP_RATIO,37,10,22,0.787,0.627,0.698,59,47,2025-05-22 13:46:13,1,20.0,60,20,30,1,0.376,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,24,17,45,0.585,0.348,0.436,69,41,2025-05-22 13:46:31,5,20.0,60,20,30,1,0.0183,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,17,37,52,0.315,0.246,0.276,69,54,2025-05-22 13:46:31,5,20.0,60,20,30,1,0.0709,True,0.05
KMEANS,"{'n_clusters': 60, 'random_state': 5, 'n_init': 'auto'}",3D_IOU,17,38,52,0.309,0.246,0.274,69,55,2025-05-22 13:46:31,5,20.0,60,20,30,1,0.0307,True,0.05
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 5}",3D_IOU,15,33,54,0.312,0.217,0.256,69,48,2025-05-22 13:46:31,5,20.0,60,20,30,1,0.5353,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,40,1,29,0.976,0.58,0.727,69,41,2025-05-22 13:46:31,5,20.0,60,20,30,1,0.0139,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,41,13,28,0.759,0.594,0.667,69,54,2025-05-22 13:46:31,5,20.0,60,20,30,1,0.0499,True,0.05
KMEANS,"{'n_clusters': 60, 'random_state': 5, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,35,20,34,0.636,0.507,0.565,69,55,2025-05-22 13:46:31,5,20.0,60,20,30,1,0.0239,True,0.05
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 5}",2D_CENTER_IN_GT_AREA,33,15,36,0.688,0.478,0.564,69,48,2025-05-22 13:46:31,5,20.0,60,20,30,1,0.541,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,39,2,30,0.951,0.565,0.709,69,41,2025-05-22 13:46:31,5,20.0,60,20,30,1,0.0138,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,35,19,34,0.648,0.507,0.569,69,54,2025-05-22 13:46:31,5,20.0,60,20,30,1,0.0495,True,0.05
KMEANS,"{'n_clusters': 60, 'random_state': 5, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,43,12,26,0.782,0.623,0.694,69,55,2025-05-22 13:46:31,5,20.0,60,20,30,1,0.0215,True,0.05
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 5}",2D_AREA_OVERLAP_RATIO,39,9,30,0.812,0.565,0.667,69,48,2025-05-22 13:46:31,5,20.0,60,20,30,1,0.5316,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,1,2,18,0.333,0.053,0.091,19,3,2025-05-22 13:46:33,6,20.0,60,20,30,1,0.002,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,1,3,18,0.25,0.053,0.087,19,4,2025-05-22 13:46:33,6,20.0,60,20,30,1,0.0046,True,0.05
KMEANS,"{'n_clusters': 19, 'random_state': 6, 'n_init': 'auto'}",3D_IOU,0,4,19,0.0,0.0,0.0,19,4,2025-05-22 13:46:33,6,20.0,60,20,30,1,0.0336,True,0.05
GMM,"{'n_components': 19, 'covariance_type': 'full', 'random_state': 6}",3D_IOU,0,4,19,0.0,0.0,0.0,19,4,2025-05-22 13:46:33,6,20.0,60,20,30,1,0.0693,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,3,0,16,1.0,0.158,0.273,19,3,2025-05-22 13:46:33,6,20.0,60,20,30,1,0.0016,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,4,0,15,1.0,0.211,0.348,19,4,2025-05-22 13:46:33,6,20.0,60,20,30,1,0.0041,True,0.05
KMEANS,"{'n_clusters': 19, 'random_state': 6, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,3,1,16,0.75,0.158,0.261,19,4,2025-05-22 13:46:33,6,20.0,60,20,30,1,0.0051,True,0.05
GMM,"{'n_components': 19, 'covariance_type': 'full', 'random_state': 6}",2D_CENTER_IN_GT_AREA,3,1,16,0.75,0.158,0.261,19,4,2025-05-22 13:46:33,6,20.0,60,20,30,1,0.0835,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,1,2,18,0.333,0.053,0.091,19,3,2025-05-22 13:46:33,6,20.0,60,20,30,1,0.0015,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,3,1,16,0.75,0.158,0.261,19,4,2025-05-22 13:46:33,6,20.0,60,20,30,1,0.003,True,0.05
KMEANS,"{'n_clusters': 19, 'random_state': 6, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,2,2,17,0.5,0.105,0.174,19,4,2025-05-22 13:46:33,6,20.0,60,20,30,1,0.0048,True,0.05
GMM,"{'n_components': 19, 'covariance_type': 'full', 'random_state': 6}",2D_AREA_OVERLAP_RATIO,2,2,17,0.5,0.105,0.174,19,4,2025-05-22 13:46:33,6,20.0,60,20,30,1,0.0393,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,1,1,18,0.5,0.053,0.095,19,2,2025-05-22 13:46:33,6,20.0,60,20,30,1,0.0018,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,1,2,18,0.333,0.053,0.091,19,3,2025-05-22 13:46:33,6,20.0,60,20,30,1,0.0039,True,0.05
KMEANS,"{'n_clusters': 19, 'random_state': 6, 'n_init': 'auto'}",3D_IOU,0,3,19,0.0,0.0,0.0,19,3,2025-05-22 13:46:33,6,20.0,60,20,30,1,0.0053,True,0.05
GMM,"{'n_components': 19, 'covariance_type': 'full', 'random_state': 6}",3D_IOU,0,2,19,0.0,0.0,0.0,19,2,2025-05-22 13:46:33,6,20.0,60,20,30,1,0.0673,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,22,24,37,0.478,0.373,0.419,59,46,2025-05-22 13:49:18,1,20.0,60,20,30,1,0.0223,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,19,27,40,0.413,0.322,0.362,59,46,2025-05-22 13:49:18,1,20.0,60,20,30,1,0.0828,True,0.05
KMEANS,"{'n_clusters': 59, 'random_state': 1, 'n_init': 'auto'}",3D_IOU,21,34,38,0.382,0.356,0.368,59,55,2025-05-22 13:49:18,1,20.0,60,20,30,1,0.0316,True,0.05
GMM,"{'n_components': 59, 'covariance_type': 'full', 'random_state': 1}",3D_IOU,22,26,37,0.458,0.373,0.411,59,48,2025-05-22 13:49:18,1,20.0,60,20,30,1,0.2857,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,42,4,17,0.913,0.712,0.8,59,46,2025-05-22 13:49:18,1,20.0,60,20,30,1,0.0212,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,36,10,23,0.783,0.61,0.686,59,46,2025-05-22 13:49:18,1,20.0,60,20,30,1,0.0612,True,0.05
KMEANS,"{'n_clusters': 59, 'random_state': 1, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,38,17,21,0.691,0.644,0.667,59,55,2025-05-22 13:49:18,1,20.0,60,20,30,1,0.0204,True,0.05
GMM,"{'n_components': 59, 'covariance_type': 'full', 'random_state': 1}",2D_CENTER_IN_GT_AREA,38,10,21,0.792,0.644,0.71,59,48,2025-05-22 13:49:18,1,20.0,60,20,30,1,0.3055,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,39,7,20,0.848,0.661,0.743,59,46,2025-05-22 13:49:18,1,20.0,60,20,30,1,0.02,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,38,8,21,0.826,0.644,0.724,59,46,2025-05-22 13:49:18,1,20.0,60,20,30,1,0.0727,True,0.05
KMEANS,"{'n_clusters': 59, 'random_state': 1, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,44,11,15,0.8,0.746,0.772,59,55,2025-05-22 13:49:18,1,20.0,60,20,30,1,0.0213,True,0.05
GMM,"{'n_components': 59, 'covariance_type': 'full', 'random_state': 1}",2D_AREA_OVERLAP_RATIO,43,5,16,0.896,0.729,0.804,59,48,2025-05-22 13:49:18,1,20.0,60,20,30,1,0.3212,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,11,17,62,0.393,0.151,0.218,73,28,2025-05-22 13:49:50,7,20.0,60,20,30,1,0.0158,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,8,27,65,0.229,0.11,0.148,73,35,2025-05-22 13:49:50,7,20.0,60,20,30,1,0.0536,True,0.05
KMEANS,"{'n_clusters': 60, 'random_state': 7, 'n_init': 'auto'}",3D_IOU,11,35,62,0.239,0.151,0.185,73,46,2025-05-22 13:49:50,7,20.0,60,20,30,1,0.0252,True,0.05
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 7}",3D_IOU,10,32,63,0.238,0.137,0.174,73,42,2025-05-22 13:49:50,7,20.0,60,20,30,1,0.4596,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,27,1,46,0.964,0.37,0.535,73,28,2025-05-22 13:49:50,7,20.0,60,20,30,1,0.0123,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,27,8,46,0.771,0.37,0.5,73,35,2025-05-22 13:49:50,7,20.0,60,20,30,1,0.0416,True,0.05
KMEANS,"{'n_clusters': 60, 'random_state': 7, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,37,9,36,0.804,0.507,0.622,73,46,2025-05-22 13:49:50,7,20.0,60,20,30,1,0.0206,True,0.05
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 7}",2D_CENTER_IN_GT_AREA,35,7,38,0.833,0.479,0.609,73,42,2025-05-22 13:49:50,7,20.0,60,20,30,1,0.4551,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,26,2,47,0.929,0.356,0.515,73,28,2025-05-22 13:49:50,7,20.0,60,20,30,1,0.0125,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,32,3,41,0.914,0.438,0.593,73,35,2025-05-22 13:49:50,7,20.0,60,20,30,1,0.0412,True,0.05
KMEANS,"{'n_clusters': 60, 'random_state': 7, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,39,7,34,0.848,0.534,0.655,73,46,2025-05-22 13:49:50,7,20.0,60,20,30,1,0.0169,True,0.05
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 7}",2D_AREA_OVERLAP_RATIO,39,3,34,0.929,0.534,0.678,73,42,2025-05-22 13:49:50,7,20.0,60,20,30,1,0.4332,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,18,24,69,0.429,0.207,0.279,87,42,2025-05-22 13:50:07,8,20.0,60,20,30,1,0.0244,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,18,24,69,0.429,0.207,0.279,87,42,2025-05-22 13:50:07,8,20.0,60,20,30,1,0.0859,True,0.05
KMEANS,"{'n_clusters': 60, 'random_state': 8, 'n_init': 'auto'}",3D_IOU,17,34,70,0.333,0.195,0.246,87,51,2025-05-22 13:50:07,8,20.0,60,20,30,1,0.0287,True,0.05
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 8}",3D_IOU,12,32,75,0.273,0.138,0.183,87,44,2025-05-22 13:50:07,8,20.0,60,20,30,1,0.4023,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,39,3,48,0.929,0.448,0.605,87,42,2025-05-22 13:50:07,8,20.0,60,20,30,1,0.0193,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,32,10,55,0.762,0.368,0.496,87,42,2025-05-22 13:50:07,8,20.0,60,20,30,1,0.0664,True,0.05
KMEANS,"{'n_clusters': 60, 'random_state': 8, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,33,18,54,0.647,0.379,0.478,87,51,2025-05-22 13:50:07,8,20.0,60,20,30,1,0.0542,True,0.05
